Load (x),Power Factor (pf),Power Output (Po),Efficiency (%)
0.1,0.2,25.0,60.24096385542169
0.2,0.2,50.0,73.52941176470588
0.3,0.2,75.0,78.53403141361257
0.4,0.2,100.0,80.64516129032258
0.5,0.2,125.0,81.43322475570032
0.6,0.2,150.0,81.52173913043478
0.7,0.2,175.0,81.20649651972158
0.8,0.2,200.0,80.64516129032258
0.9,0.2,225.0,79.92895204262878
1.0,0.2,250.0,79.11392405063292

0.1,0.4,50.0,75.18796992481202
0.2,0.4,100.0,84.7457627118644
0.3,0.4,150.0,87.97653958944281
0.4,0.4,200.0,89.28571428571429
0.5,0.4,250.0,89.76660682226212
0.6,0.4,300.0,89.82035928143712
0.7,0.4,350.0,89.62868117797696
0.8,0.4,400.0,89.28571428571429
0.9,0.4,450.0,88.84501480750247
1.0,0.4,500.0,88.33922261484098

0.1,0.6,75.0,81.9672131147541
0.2,0.6,150.0,89.28571428571429
0.3,0.6,225.0,91.64969450101833
0.4,0.6,300.0,92.5925925925926
0.5,0.6,375.0,92.93680297397769
0.6,0.6,450.0,92.97520661157024
0.7,0.6,525.0,92.83819628647215
0.8,0.6,600.0,92.5925925925926
0.9,0.6,675.0,92.27614490772386
1.0,0.6,750.0,91.91176470588235

0.1,0.8,100.0,85.83690987124464
0.2,0.8,200.0,91.74311926605505
0.3,0.8,300.0,93.60374414976599
0.4,0.8,400.0,94.33962264150944
0.5,0.8,500.0,94.6073793755913
0.6,0.8,600.0,94.6372239747634
0.7,0.8,700.0,94.53072248480755
0.8,0.8,800.0,94.33962264150944
0.9,0.8,900.0,94.09304756926294
1.0,0.8,1000.0,93.80863039399625

0.1,1.0,125.0,88.33922261484098
0.2,1.0,250.0,93.28358208955224
0.3,1.0,375.0,94.81668773704172
0.4,1.0,500.0,95.41984732824427
0.5,1.0,625.0,95.63886763580719
0.6,1.0,750.0,95.66326530612244
0.7,1.0,875.0,95.57618787547788
0.8,1.0,1000.0,95.41984732824427
0.9,1.0,1125.0,95.21794329242488
1.0,1.0,1250.0,94.98480243161094
